HGNC	Module_Label
UNC13D	-
MFSD11	-
DPYSL2	-
TGFB2	-
NUP50	-
COMT	-
CECR1	-
LRRFIP2	-
SEC22C	-
XYLB	-
UPRT	-
CDC23	-
MSH2	-
ARCN1	-
TMEM38B	-
PSMD5	-
CRAT	-
SH2D3C	-
NANS	-
DFNB31	-
CWF19L1	-
SEMA4G	-
IKZF5	-
BLNK	-
SORBS1	-
IL11	-
WAC	-
HIVEP1	-
FKBP5	-
BRPF3	-
EFHC1	-
ITPR3	-
ZNF184	-
SIRT1	-
HNRNPH3	-
IFT74	-
JAK2	-
SH3GLB1	-
CDC7	-
SYDE2	-
SCD	-
TMED1	-
RAB18	-
NRP1	-
PRTFDC1	-
PALMD	-
FAM21A	-
MYO9B	-
PSMD8	-
STX1B	-
HSD3B7	-
BCL7C	-
C19ORF26	-
PCDH11Y	-
PRKY	-
TXLNG2P	-
02-Mar	-
TECR	-
POLR2E	-
HCN2	-
RASSF7	-
PALM	-
MKNK2	-
AC000036.5	-
ARVCF	-
TRMT2A	-
ZDHHC8	-
KLHL22	-
MED15	-
SNAP29	-
LZTR1	-
MMP11	-
CECR2	-
P2RX6	-
DERL3	-
BCL2L13	-
DDTL	-
DDT	-
GSTT2	-
CABIN1	-
TBC1D10A	-
SF3A1	-
GGT5	-
YPEL1	-
SNRPD3	-
GGT1	-
PPM1F	-
TOP3B	-
CRYBB2P1	-
ADRBK2	-
HPS4	-
NOL12	-
SRRD	-
TRIOBP	-
TFIP11	-
GCAT	-
ANKRD54	-
CCDC134	-
PICK1	-
TTC28	-
SLC16A8	-
DDX17	-
DMC1	-
HSCB	-
CBY1	-
RTDR1	-
JOSD1	-
PPP6R2	-
SBF1	-
CYB5R3	-
DNAL4	-
LMF2	-
RHBDD3	-
PACSIN2	-
TTLL1	-
RASL10A	-
AP1B1	-
HMGXB4	-
TOM1	-
NEFH	-
CHKB	-
MCAT	-
ARSA	-
TSPO	-
TTLL12	-
ASCC2	-
APOL4	-
PNPLA5	-
APOL1	-
MYH9	-
FOXRED2	-
TNRC6B	-
IFT27	-
KIAA0930	-
SLC25A17	-
L3MBTL2	-
RANGAP1	-
ZC3H7B	-
ACO2	-
POLR3H	-
TRMU	-
PPPDE2	-
CERK	-
ZBED4	-
KCNK10	-
KHNYN	-
FKBP3	-
SDR39U1	-
RBM23	-
COCH	-
METTL21D	-
CDKL1	-
TRIM9	-
PSMC6	-
GNPNAT1	-
DDHD1	-
CNIH	-
PIGH	-
PSMA3	-
TIMM9	-
GSTZ1	-
TMED8	-
SAMD15	-
AHSA1	-
DAAM1	-
ISM2	-
SPTLC2	-
LGMN	-
SNW1	-
CHGA	-
ITPK1	-
DHRS7	-
PPM1A	-
SIX4	-
ASB2	-
CEP128	-
ERH	-
KIAA0247	-
ZFYVE21	-
MTHFD1	-
ZC3H14	-
RPS6KA5	-
SMEK1	-
ACIN1	-
CCNB1IP1	-
EFS	-
ARHGAP5	-
CINP	-
SRP54	-
PCK2	-
TM9SF1	-
CHMP4A	-
SEC23A	-
GMPR2	-
RABGGTA	-
GSS	-
MMP9	-
PYGB	-
CD40	-
SLA2	-
STK4	-
DOK5	-
TPD52L2	-
SLMO2	-
SLCO4A1	-
NTSR1	-
C20ORF20	-
TCFL5	-
SLC17A9	-
ARFGAP1	-
CHRNA4	-
GMEB2	-
C20ORF27	-
ARFRP1	-
C20ORF7	-
TRIB3	-
RASSF2	-
C20ORF54	-
PROKR2	-
HM13	-
SNPH	-
SIRPB1	-
SEC23B	-
FERMT1	-
C20ORF160	-
PLCB4	-
MYL9	-
C20ORF118	-
POFUT1	-
SAMHD1	-
KIF3B	-
C20ORF132	-
NOP56	-
MANBAL	-
IDH3B	-
MAPRE1	-
CDK5RAP1	-
SNTA1	-
CHMP4B	-
BPI	-
ACTR5	-
WFDC2	-
SYNDIG1	-
TNNC2	-
C20ORF3	-
ADNP2	-
VAPA	-
METTL4	-
LPIN2	-
CEP76	-
RNMT	-
RNF125	-
NOL4	-
POLI	-
MIB1	-
PSMD10	-
ATG4A	-
GPR143	-
NKAP	-
RHOXF1	-
RP3-324O17.4	-
AMMECR1	-
CHRDL1	-
WDR13	-
SUV39H1	-
GLRA2	-
XIAP	-
ATP11C	-
ABCD1	-
CCDC22	-
PLP2	-
RENBP	-
ELF4	-
SMARCA1	-
RBBP7	-
UBE2NL	-
FMR1	-
SCML2	-
SLC35A2	-
PCSK1N	-
GATA1	-
SMS	-
UBL4A	-
EEA1	-
CDK16	-
BRS3	-
HTATSF1	-
GABRE	-
PIN4	-
PORCN	-
DRP2	-
TAF7L	-
CXORF26	-
GLA	-
TNFSF13B	-
FNDC3A	-
CAB39L	-
KLF5	-
STK24	-
DNAJC3	-
SGCG	-
FAM48A	-
MRPS31	-
SLC25A15	-
KPNA3	-
KIAA0564	-
DGKH	-
KATNAL1	-
INTS6	-
DHRS12	-
C13ORF33	-
CLN5	-
OLFM4	-
MGRN1	-
TRADD	-
MAPK3	-
PHKB	-
