"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement"
"669","2","DHPG","5","13","MKO2",270.558030697544
"670","2","DHPG","5","3","MKO2",154.360147633263
"671","2","DHPG","5","4","MKO2",326.730138910181
"672","2","DHPG","5","5","MKO2",533.996518652386
"673","2","DHPG","5","8","MKO2",241.126862974084
"664","2","DHPG","5","1","GFP",683.559517244533
"665","2","DHPG","5","10","GFP",266.812100005916
"666","2","DHPG","5","9","GFP",193.60425678389
"681","2","DHPG","6","11","MKO2",165.061117763758
"682","2","DHPG","6","13","MKO2",150.366261022217
"683","2","DHPG","6","15","MKO2",334.633145859014
"684","2","DHPG","6","7","MKO2",186.139850182611
"685","2","DHPG","6","9","MKO2",235.215385326664
"687","2","DHPG","6","12","MKO2",850.382692956544
"688","2","DHPG","6","8","MKO2",256.85128204867
"674","2","DHPG","6","1","GFP",281.080498065801
"675","2","DHPG","6","3","GFP",220.434448654186
"676","2","DHPG","6","4","GFP",244.726774928136
"677","2","DHPG","6","5","GFP",400.045718079584
"678","2","DHPG","6","6","GFP",238.59216882792
"679","2","DHPG","6","7","GFP",244.508131583198
"680","2","DHPG","6","8","GFP",294.590259386178
"686","2","DHPG","6","9","GFP",1287.02691864303
"694","2","DHPG","7","10","MKO2",201.875097265418
"695","2","DHPG","7","13","MKO2",145.075057934769
"696","2","DHPG","7","14","MKO2",300.289436589022
"697","2","DHPG","7","3","MKO2",399.302394456156
"698","2","DHPG","7","5","MKO2",311.470461307448
"699","2","DHPG","7","8","MKO2",344.159848576565
"700","2","DHPG","7","8b","MKO2",393.335463109956
"706","2","DHPG","7","12","MKO2",247.141591461024
"707","2","DHPG","7","9","MKO2",727.594432535914
"689","2","DHPG","7","12","GFP",370.425219585667
"690","2","DHPG","7","15","GFP",344.613762040196
"691","2","DHPG","7","17","GFP",271.590764480771
"692","2","DHPG","7","4","GFP",331.612054224555
"693","2","DHPG","7","6","GFP",220.873049001739
"701","2","DHPG","7","10","GFP",465.444290841753
"702","2","DHPG","7","11","GFP",339.593484546286
"703","2","DHPG","7","16","GFP",312.257096963759
"704","2","DHPG","7","2","GFP",374.357309597571
"705","2","DHPG","7","7","GFP",876.161666477351
"713","2","DHPG","8","1","MKO2",114.250322624588
"714","2","DHPG","8","11","MKO2",235.972708408495
"715","2","DHPG","8","2","MKO2",190.752425628539
"716","2","DHPG","8","7","MKO2",425.062883410706
"708","2","DHPG","8","16","GFP",352.059027246376
"709","2","DHPG","8","17","GFP",154.280138535274
"710","2","DHPG","8","19","GFP",354.114323633444
"711","2","DHPG","8","5","GFP",141.940816348822
"712","2","DHPG","8","8","GFP",126.528777108151
"828","2","TG003","5","10","MKO2",507.184811348349
"829","2","TG003","5","13","MKO2",393.655499501912
"830","2","TG003","5","2","MKO2",282.020809017728
"831","2","TG003","5","4","MKO2",316.400173762563
"834","2","TG003","5","11","MKO2",449.162707464018
"835","2","TG003","5","5","MKO2",225.762620874153
