"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement","Normalized"
"482","1","RAPA","5","15","R841X-Correction",595.028886162952,2.09505219970261
"483","1","RAPA","5","17","R841X-Correction",301.363624558,1.06107877990932
"484","1","RAPA","5","18","R841X-Correction",778.222896633824,2.74006460756113
"485","1","RAPA","5","20","R841X-Correction",430.617355533649,1.51617149842676
"486","1","RAPA","5","24","R841X-Correction",448.096175998452,1.57771311785827
"487","1","RAPA","5","6","R841X-Correction",507.95744754626,1.78848017732315
"623","1","DHPG","1","10","R841X-Mutant",274.165599209636,0.965316567084495
"624","1","DHPG","1","12","R841X-Mutant",238.124255905885,0.838417693223635
"625","1","DHPG","1","16","R841X-Mutant",717.383031343894,2.52585199272957
"626","1","DHPG","1","19","R841X-Mutant",213.816616515856,0.752832313155697
"627","1","DHPG","1","5","R841X-Mutant",309.723716475273,1.09051403821072
"628","1","DHPG","1","6","R841X-Mutant",293.813138080409,1.03449408180213
"629","1","DHPG","1","8","R841X-Mutant",544.689832224841,1.91781215617453
"630","1","DHPG","1","9","R841X-Mutant",170.560136187923,0.600529481528779
"619","1","DHPG","1","3","R841X-Correction",269.446873541419,0.948702286969892
"620","1","DHPG","1","4","R841X-Correction",421.473799464874,1.48397772145146
"621","1","DHPG","1","5","R841X-Correction",276.298662140766,0.972826922110762
"622","1","DHPG","1","7","R841X-Correction",333.957417600262,1.17583908717807
"633","1","DHPG","2","2","R841X-Mutant",240.383539350654,0.846372461237063
"636","1","DHPG","2","14","R841X-Mutant",275.399805429218,0.969662114864361
"637","1","DHPG","2","3","R841X-Mutant",199.623470378688,0.702859307261608
"638","1","DHPG","2","4","R841X-Mutant",499.515760860535,1.75875762994537
"631","1","DHPG","2","5","R841X-Correction",149.299729556651,0.525673180069793
"632","1","DHPG","2","8","R841X-Correction",199.891224522044,0.703802049572212
"634","1","DHPG","2","10","R841X-Correction",429.796922195,1.51328281401023
"635","1","DHPG","2","2","R841X-Correction",495.154040716794,1.74340033957824
"645","1","DHPG","3","12","R841X-Mutant",441.262871965366,1.55365356549255
"646","1","DHPG","3","13","R841X-Mutant",505.579600145892,1.78010795449071
"647","1","DHPG","3","14","R841X-Mutant",135.39599357928,0.476719165700316
"648","1","DHPG","3","4","R841X-Mutant",665.587956391077,2.34348540811986
"649","1","DHPG","3","5","R841X-Mutant",606.777903192756,2.13641960983183
"651","1","DHPG","3","10","R841X-Mutant",777.4552896786,2.7373619208892
"652","1","DHPG","3","6","R841X-Mutant",574.734931607911,2.0235987037129
"639","1","DHPG","3","10","R841X-Correction",103.426960259475,0.364158590681977
"640","1","DHPG","3","12","R841X-Correction",215.429484276353,0.758511099897041
"641","1","DHPG","3","13","R841X-Correction",314.605631789647,1.10770289686277
"642","1","DHPG","3","2","R841X-Correction",111.303826084008,0.391892446056405
"643","1","DHPG","3","7","R841X-Correction",156.871872105309,0.552334127583328
"644","1","DHPG","3","8","R841X-Correction",425.404575819101,1.49781769097054
"650","1","DHPG","3","9","R841X-Correction",166.235385176701,0.585302356711942
"658","1","DHPG","4","10","R841X-Mutant",689.360087494395,2.42718530356659
"659","1","DHPG","4","15","R841X-Mutant",502.636931884331,1.7697470396549
"660","1","DHPG","4","16","R841X-Mutant",128.11326119042,0.451077209711396
"662","1","DHPG","4","13","R841X-Mutant",527.738863488711,1.85812906319609
"663","1","DHPG","4","19","R841X-Mutant",1120.64999983662,3.94572482420874
"653","1","DHPG","4","1","R841X-Correction",182.48765597996,0.642525386531717
"654","1","DHPG","4","11","R841X-Correction",121.403006220791,0.427450903893973
"655","1","DHPG","4","2","R841X-Correction",353.084761300403,1.24318503361079
"656","1","DHPG","4","5","R841X-Correction",488.74850902304,1.72084694162171
"657","1","DHPG","4","6","R841X-Correction",149.336698689171,0.525803345620086
"661","1","DHPG","4","8","R841X-Correction",164.317794140328,0.578550662109702
"765","1","TG003","1","1","R841X-Mutant",340.972395845767,1.20053830085639
"766","1","TG003","1","10","R841X-Mutant",306.097663396921,1.07774697655254
"767","1","TG003","1","11","R841X-Mutant",128.938179636928,0.453981685857212
"768","1","TG003","1","12","R841X-Mutant",738.086273672013,2.59874656035334
"769","1","TG003","1","15","R841X-Mutant",456.400814162319,1.60695312764189
"770","1","TG003","1","17","R841X-Mutant",742.469649832195,2.61418009993447
"771","1","TG003","1","18","R841X-Mutant",395.694825944065,1.39321188396563
"772","1","TG003","1","19","R841X-Mutant",481.518058882777,1.69538906751936
"773","1","TG003","1","5","R841X-Mutant",828.345165019507,2.91654136537479
"775","1","TG003","1","7","R841X-Mutant",830.724326077553,2.92491821349766
"760","1","TG003","1","1","R841X-Correction",408.662736077368,1.43887092553841
"761","1","TG003","1","10","R841X-Correction",534.495057806578,1.88191711802237
