"NAME"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ASH1L"	5893.2524968314	0.143244526658163	0.181292036489546	0.79012846314678	0.429452748685483	0.647470027004348
"ASH2L"	1780.5963024856	0.235886641119257	0.0749525773805378	3.14719392739927	0.0016484559002039	0.0144912963673723
"ASIC1"	2927.58148255095	0.0742099541702669	0.324057537310707	0.228905026223324	0.818942733921376	0.913033935441169
"ASIC2"	37.2328055035426	0.502235736650589	0.508915722347684	0.910644665942411	0.362482628111657	0.58539817110558
"ASIC3"	471.696900927254	-0.557904642124151	0.334570943997719	-1.66246291377062	0.0964199934011995	0.256526097007928
"ASIC4"	202.469935648504	1.06343400621351	0.370817652563623	2.89143996427994	0.00383480852958936	0.0270176590265286
"ASIP"	14.3604082148034	0.296990204049842	0.414441334276854	0.709117427316418	0.478251609096859	0.687395858445179
"ASL"	279.886264687582	-0.413986360428683	0.153449873808398	-2.69827606961566	0.00696996127038007	0.041842781754637
"ASMT"	12.4799522957957	0.049345887037537	0.481346503290377	0.102026645231175	0.918735525601439	0.96375553941598
"ASMTL"	1041.38180159316	0.196374008183067	0.19907733737522	0.98658208398303	0.323847556795553	0.54739568885037
"ASNA1"	1533.4227623941	0.0562426521205499	0.186844869477911	0.301019556394689	0.7633995819077	0.881989124462776
"ASNS"	186.266649350512	0.149280347849267	0.22212450814026	0.672703648067621	0.501135846265881	0.705863303399561
"ASNSD1"	1582.53704374242	0.068763635211088	0.126118486103538	0.545238590936985	0.585589433093838	0.768886641171582
"ASPA"	5.45036966799259	-0.385829625761634	0.506810687341989	-0.727900371114129	0.466674575995866	0.679649833068738
"ASPDH"	17.8051743746062	-0.898261005927918	0.372601452553602	-2.38612254341627	0.0170270762924086	0.079246204619209
"ASPG"	1.78844700315054	-0.330966013820588	0.479864479208273	-0.529577161336403	0.596405132665721	NA
"ASPH"	2982.85047551192	0.0231671642842155	0.295953191102666	0.0782557599537628	0.937624607935416	0.97231051793892
"ASPHD1"	470.472531397517	0.912988946132543	0.200851299020189	4.54883470136239	5.39437934993028e-06	0.000164912437375212
"ASPHD2"	458.964589299271	1.21731270154762	0.21541237351554	5.65256417688681	1.58071748443939e-08	1.43059448677435e-06
"ASPM"	2241.07245028855	-0.679264641442448	0.380331003317817	-1.77659760633695	0.0756344697652548	0.218834258703344
"ASPN"	194.268313321454	-3.1217687897074	0.492391756387496	-6.42086341081198	1.3550357155657e-10	2.6826319578912e-08
"ASPRV1"	168.426409429021	-0.229593966002446	0.328035389053855	-0.700063284576433	0.483887783605725	0.692242319279873
"ASPSCR1"	747.172164788321	-0.140458284566658	0.0911129449805279	-1.54159506585877	0.123172025331949	0.300257763100589
"ASRGL1"	494.797862536274	-0.0297409180520392	0.347141691239654	-0.0857449725027241	0.931669150862258	0.969852080301897
"ASS1"	1363.76484694263	0.0604455660379249	0.506158291437645	0.135200066651806	0.892453694397485	0.949656114745187
"ASTE1"	202.899520322344	-0.421724999949464	0.332483035171164	-1.26750345243536	0.204975329923546	0.415565703447148
"ASTL"	1.56628266558509	-0.461734936657864	0.447509824785499	-0.786522213454641	0.43156161052338	NA
"ASTN1"	2318.91028468258	0.697393451407653	0.330648664316157	2.10387201605569	0.0353896126374775	0.131758506100698
"ASTN2"	308.531177118684	0.020971478356887	0.39209678810122	0.0534847850288523	0.957345653085297	0.981133716420663
"ASXL1"	5943.05910832039	-0.295083611854292	0.115857854031502	-2.54690766771168	0.0108682185004908	0.0578008208901185
"ASXL2"	1928.82447705727	-0.352582582068447	0.150678821797281	-2.33990441435928	0.0192886758305157	0.0865667463314559
"ASXL3"	3309.56159724138	0.849424188390396	0.386916717375404	2.20117682384366	0.0277235083440046	0.111358083984871
"ATAD1"	3990.72896004983	0.586009123921443	0.0846533169841224	6.9225380975186	4.43622434311825e-12	1.75652302865767e-09
"ATAD2"	1861.65719957207	-0.935549386806357	0.343257346605824	-2.71767651416623	0.00657420781771424	0.0401087455381195
"ATAD2B"	2010.52222528128	-0.103385782525927	0.16702956851821	-0.618964037386133	0.535940050453224	0.731679899929158
"ATAD3A"	1007.93255529505	-0.0850017679138713	0.156502180577152	-0.543143915621383	0.587030718011059	0.7698658754242
"ATAD3B"	1241.20778212397	-0.406070100358733	0.156602452760083	-2.59273444842054	0.00952162586248637	0.0524023151043268
"ATAD3C"	18.9862492010739	-1.34129552962456	0.372189526654596	-3.54786231161214	0.000388371189618536	0.00486246869658369
"ATAD5"	1108.56799086658	-0.474699591602626	0.13591835356156	-3.49217275286531	0.000479108272127935	0.00570914917033209
"ATAT1"	6058.45771863025	0.587545567951778	0.24173010166698	2.43110593764086	0.0150528125996195	0.072899833653933
"ATCAY"	7647.95511140419	0.452292661461974	0.319402025515239	1.41847303300275	0.156052706423719	0.348647589834795
"ATE1"	1504.9722394496	0.138786753717972	0.133038080063952	1.04326968466163	0.296823407317561	0.521350540083247
"ATF1"	367.812895669411	-0.147888469063894	0.116793300326527	-1.26635208793258	0.205387056193611	0.415954935183455
"ATF2"	3252.59260517751	0.394935620099078	0.096261522745473	4.10282831962837	4.08130097747744e-05	0.000835137530765992
"ATF3"	651.509337264751	0.0751316717823098	0.303800864096139	0.247194029377965	0.804758065820657	0.905520779890839
"ATF4"	9929.24353731386	0.147285213696808	0.219364394278454	0.671671274151604	0.501792992671798	0.706372537368762
"ATF5"	681.911970558797	-0.290000431138602	0.392045018925646	-0.735847152746144	0.461823721644684	0.675754259368856
"ATF6"	2890.76126627376	0.063199294659613	0.140198061662359	0.450789218712856	0.652141472424433	0.816090426933225
"ATF6B"	3014.18792963133	-0.159157267405169	0.0857110314172938	-1.85691208618879	0.0633236627613806	0.194482345741544
"ATF7"	1091.48796941303	-0.33068354546849	0.0920787128442148	-3.5912466317334	0.000329100018441585	0.0042793810279785
"ATF7IP"	12032.7803081046	0.0691722835829217	0.176274864620107	0.392417684242552	0.694749621652945	0.842078863376394
"ATF7IP2"	252.878634203401	-0.870644723848446	0.297558498107677	-2.91967901759639	0.00350392081119509	0.0253055621558175
"ATG10"	198.120855674736	0.125479988504525	0.2109221492954	0.595248397337779	0.551677443744475	0.744018035620875
"ATG101"	364.863515401366	0.311833085730099	0.186186403626235	1.6753790328563	0.0938598877638367	0.252079362684507
"ATG12"	1949.28119092271	0.192099298102369	0.0807958076413141	2.37762613940257	0.017424482245711	0.0804105331607139
"ATG13"	2660.97298832895	0.131644929168819	0.1056731175877	1.24582161831636	0.21282989106859	0.425015737579666
"ATG14"	1778.88179989663	-0.180017480950973	0.169034201958421	-1.06498352002291	0.286883387483343	0.510236843454373
"ATG16L1"	1243.67062714947	-0.0366677546779847	0.136880743250647	-0.267879565386219	0.788792023488295	0.89728421087464
"ATG16L2"	448.670879239171	-0.628599921759996	0.240316817584103	-2.61197043323404	0.00900220392321152	0.0505233542649979
"ATG2A"	1134.2748319823	-0.0714039663552651	0.0934636427615498	-0.76396875339297	0.444885863476056	0.661481628401594
"ATG2B"	3436.80351293928	-0.227834881633987	0.171971876365957	-1.32483982980919	0.185224281178626	0.39000497554057
"ATG3"	1300.25772281955	-0.121725191842836	0.18089040783883	-0.672830492564905	0.501055136241378	0.705835742043133
"ATG4A"	397.742519502053	0.110446326713467	0.151137394085258	0.730525483640497	0.465069041808076	0.678684555805428
"ATG4B"	2786.5242919501	-0.0469102979586882	0.0867774899090936	-0.540580188013413	0.58879697658368	0.771199367508478
"ATG4C"	583.51676751235	-0.238111189972835	0.183848017932589	-1.2946612814532	0.195437102143438	0.403645292450083
"ATG4D"	585.80947387299	0.111357510021784	0.134223342537312	0.82974761626361	0.406681493580706	0.627078870794282
"ATG5"	911.6561725841	0.101563186789207	0.136605594656364	0.743487159853613	0.457186792484059	0.672372993307011
"ATG7"	517.733248182162	0.0100345847563024	0.145652344548283	0.0688975415364638	0.945071175440726	0.976070249535717
"ATG9A"	2122.01513807554	-0.0554066684637174	0.0770115033782535	-0.719459436666129	0.471857886526996	0.682549790106233
"ATG9B"	45.374925567346	-0.578277526859082	0.382796324187984	-1.49808870340934	0.134110205694684	0.316736979102151
"ATIC"	922.679806793889	0.420696007559007	0.174319672094055	2.41323139741715	0.0158117775171248	0.0754070859127441
"ATL1"	1845.47198900825	0.580895774485945	0.165853779942835	3.50258341903661	0.000460769476735867	0.00557073814697914
"ATL2"	1913.81757004407	-0.15534891928176	0.110079850657392	-1.41122072282857	0.15817954164164	0.351761805745618
"ATL3"	942.989745526828	-0.565398537009072	0.297038174946191	-1.90313633380977	0.0570227580029283	0.181241509381974
"ATM"	5147.87437692339	-0.214934615181753	0.111559561645746	-1.92662752157727	0.0540260662659738	0.174648575926536
"ATMIN"	3729.3110225075	0.378490591394895	0.141456755839027	2.67575565581881	0.00745609824075026	0.0439158363469701
"ATN1"	12006.0526638177	0.102984225159404	0.148832182569433	0.691930233966936	0.488981142755752	0.696634284336206
"ATOH1"	7.46273923562975	-0.019072674508674	0.475392328312317	-0.0417843632904971	0.966670600412809	0.985362788162571
"ATOH7"	14.7466068114466	-0.253419659752626	0.33250858116055	-0.760291377669748	0.447080434670604	0.663677103614533
"ATOH8"	215.348473552956	-0.829988503449302	0.443468305808773	-1.87105194004644	0.061337882108122	0.190596307009699
"ATOX1"	559.66695701727	0.107909028343524	0.175805849336206	0.613812531454154	0.539339215371014	0.733664390023716
