"exp_ID" "Lawn" "individual" "lineID" "ind_type" "SHANK2_gtype" "ind_desc" "Color" "Family" "wellID" "sEPSC_Ampl" "sEPSC_Freq" "Setup" "growth_condition" "Line" "FamilyType" "ind_desc_paper" "line_desc_paper" "comparison_var" "comparison_label"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 9 1.14112112546347 1.55184556615613 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 9 1.29386833897193 1.0345637237028 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 9 0.886488097181475 0.775922783078066 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 9 0.81508651818819 0.775922783078066 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 9 0.937349495916418 1.0345637237028 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 9 1.94610057082612 0.517281842453331 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 9 1.61990294624721 3.62097297476559 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 9 1.41613131670016 4.13825485601506 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 9 1.14112112546347 10.8629189630929 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 9 1.75243601410461 16.0357375040146 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
