"exp_ID" "wellID" "Lawn" "individual" "lineID" "ind_type" "SHANK2_gtype" "ind_desc" "Color" "Family" "imagebatchID" "imageID" "Syn_Number" "Dend_Length" "Setup" "Line" "FamilyType" "ind_desc_paper" "line_desc_paper" "comparison_var" "comparison_label" "growth_condition"
"1" 4 "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "2" 3.58900718132689 2.25086205418906 "EXP" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 4 "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "3u" 5.33223924082852 2.3878370044564 "EXP" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 4 "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "3c" 0.922887560912629 0.502941686912739 "EXP" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 4 "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "5" 5.94749761477028 3.62442049461612 "EXP" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 4 "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "7" 0.410172249294502 1.92196347095726 "EXP" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 5 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "1" 0.662601524943924 0.955286766455157 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 5 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "2" 0.828251906179905 0.960658942994619 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 5 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "4" 1.82215419359579 1.08967505334358 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 5 "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "1" 1.71172060610514 1.52754840315122 "EXP" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 5 "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "3" 2.09823816232243 1.46284671638339 "EXP" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 5 "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "5" 2.76083968726635 1.05888287385612 "EXP" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 6 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "1" 0.966915743703486 0.719833554579092 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 6 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "3" 2.07196230793604 1.39400658832536 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 6 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "4" 1.34677550015843 1.75041508236633 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 6 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "5" 0.690654102645347 1.12424704347566 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 6 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "6" 0.621588692380812 0.538963609726713 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 6 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "7" 0.863317628306684 0.939595314894221 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 6 "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "3" 0.51799057698401 0.81729491565702 "EXP" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 6 "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "4" 0.51799057698401 0.850068033979972 "EXP" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 6 "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "6" 0.65612139751308 2.64274946133834 "EXP" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 6 "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "7" 0.51799057698401 1.1904273506798 "EXP" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 7 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "1" 2.68339241443168 2.20472347857426 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 7 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "2" 1.29841568440243 1.41800010902538 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
